course,semester,exam_type,year,question,marks
B.Sc.,2,Regular,2023,"O""r""riU"" p*allel and distributed AI in detail' 06cos BTL5",6
B.Sc.,2,Regular,2023,This euestion paper has two sections. Each section should be written in a separate,60
B.Sc.,2,Regular,2023,Explain biotic component of ecosystem? 06c02 BTL4,6
B.Sc.,2,Regular,2023,This Question paper has two sections. Each section should be written in a separate,60
B.Sc.,2,Regular,2023,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
B.Sc.,2,Regular,2023,"What is Pandas, and why is it a popular library for data",6
B.Sc.,2,Regular,2023,This Question paper has two sections. Each section should be written in a separate,60
B.Sc.,2,Regular,2023,What are the components of a pie chart and how can you,6
B.Sc.,2,Regular,2023,co4 BTL6,1
B.Sc.,2,Regular,2023,This Question paper has two sections. Each section should be written in a separate,60
B.Sc.,2,Regular,2023,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
B.Sc.,2,Regular,2023,Justiff the clustering with categorical attributes. 06co4 BTL5,6
B.Sc.,2,Regular,2023,Figures to the .,6
B.Sc.,2,Regular,2023,This QuestionTotal:60 Marks,60
B.Sc.,2,Regular,2023,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
B.Sc.,2,Regular,2023,Bloom's Taxonomy Based Assessmetrt Pattern: BTll-Remember; BTL2- Understand;,6
BCA,2,Regular,2023,4,6
BCA,2,Regular,2023,GANPAT UNIVERSITY,8
BCA,2,Regular,2023,(30),30
BCA,2,Regular,2023,Be precise and to the point in your answer,9
BCA,2,Regular,2023,GANPAT UNIVERSITY,8
BCA,2,Regular,2023,Answer the followving: (ANY 1),1
BCA,2,Regular,2023,DD BCA-MCA SEM-II EXAMINATION (CBCS) April -June 2023,6
MCA,2,Regular,2020,CTS 3.,7
MCA,2,Regular,2020,What do vou understand by intent Explan any onc tvpe of intent with example,10
MCA,2,Regular,2020,Be precise and to the point in your answer,5
MCA,2,Regular,2020,(30),30
MCA,2,Regular,2020,", 2, 3, 1, 2, 5, 3, 4, 6, 7, 7, 1, 0, 5, 4, 6, 2, 3, 0, 1.",10
M.Sc.,2,Regular,2023,What is KNN? Explain KNN in detail with proper example.,1
M.Sc.,2,Regular,2023,GANPAT UNIVERSITY,9
M.Sc.,2,Regular,2020,Be precise and to the point in your answerI Total Marks : 30,7
M.Sc.,2,Regular,2020,(0s),3
M.Sc.,2,Regular,2023,Explain the prerequisites for installing Hyper-V. Seat No.,3
M.Sc.,2,Regular,2023,-5. Answer the following Questions. (Any One) 1. Write a short note on Raspberry Pi. Seat No.,3
M.Sc.,2,Regular,2023,2. Answer the following Questions. (Any One) |Total Marks : 30,3
M.Sc.,2,Regular,2023,5. Answer the following Questions. (Any One) Why use Route Redistribution? Explain disadvantages to route redistribution.,4
M.Sc.,2,Regular,2023,Be precise and to the point in your answer,3
M.Sc.,2,Regular,2023,Write a hibernate program for insert operation.,8
M.Sc.,2,Regular,2023,GANPAT UNIVERSITY,5
M.Sc.,2,Regular,2023,Figures to the right indicate full marks Be precise and to the point in your answer,8
M.Sc.,2,Regular,2023,5. Answer the following: (Any Two),8
B.Sc. CS,1,Regular,2023,This Question paper has two sections. Each section should be written in a separate,60
B.Sc. CS,1,Regular,2023,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
B.Sc. CS,1,Regular,2023,Explain Mobile Forensics and Cloud Forensics. 06co5 BTLZ---:I,6
B.Sc. CS,1,Regular,2023,This Question paper has two sections. Each section should be written in a separate,60
B.Sc. CS,1,Regular,2023,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
B.Sc. CS,1,Regular,2023,Explain the Tab Nabbing in details? 06cos BTL 4,6
B.Sc. CS,1,Regular,2023,This Question paper has two sections. Each section should be written in a separate,60
B.Sc. CS,1,Regular,2023,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
B.Sc. CS,1,Regular,2023,4Answer the following: (AnY One) 06,6
B.Sc. CS,1,Regular,2023,"Figures to the right indicate full marks, Course Outcomes and BL Pattem Level.",60
B.Sc. CS,1,Regular,2023,This Question paper has two sections. Each section should be written in a separate answer book.3. Section-I consist of 07 questions of 06 marks each with options respectively. Section-Il consist of 03,6
B.Sc. CS,1,Regular,2023,Define the Role of UNCITRAL in details. 06co5 BTL4,12
M.Sc.,2,Regular,2023,This Question paper has two sections. Each section should be written in a separate,60
M.Sc.,2,Regular,2023,Section-I consist of 07 questions of 6 marks each with options respectively.'section-Il,6
M.Sc.,2,Regular,2023,Differentiate between polymorphic and metamorphic,6
M.Sc.,2,Regular,2023,This Question paper has two sections. Each section should be written in a separate,60
M.Sc.,2,Regular,2023,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
M.Sc.,2,Regular,2023,Write a short note on AFlogical. 06co5 BTL5,6
M.Sc.,2,Regular,2023,This Question paper has two sections. Each section should be written in a separate,60
M.Sc.,2,Regular,2023,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
M.Sc.,2,Regular,2023,{),6
MCA,1,Regular,2017,' (A),8
MCA,1,Regular,2017,Be precise and to the point in your answer,8
MCA,1,Regular,2017,-3.EnrollmentNo',8
MCA,1,Regular,2017,-s.,11
MCA,1,Regular,2017,What is data? How it differ from information? Explain',8
MCA,1,Regular,2017,.,8
MCA,1,Regular,2017,Give Antonyms for the words : (a) Leave 0) Real,6
MCA,1,Regular,2017,.,6
MCA,1,Regular,2017,.,11
MCA,1,Regular,2017,"\{ cA S EM_r EXAM^rNA rroxiir cslINTRODUCTION TO DATA N'iIi""SrSMANAGEMENT",8
MCA,1,Regular,2017,2.SECTION - I,8
MCA,1,Regular,2017,1,8
MCA,1,Regular,2017,s. 5.1A.,3
MCA,1,Regular,2017,1 Ansrver the follorliug: ({\-\. T\\ O),3
MCA,1,Regular,2017,Answer the following:,8
MCA,1,Regular,2017,f,2
MCA,1,Regular,2017,Authorization2) Mobile Computing3) wi-Fi,3
MCA,1,Regular,2017,Internet protocol(08),8
MCA,1,Regular,2017,.,3
MCA,1,Regular,2017,A,2
MCA,1,Regular,2019,' (A),8
MCA,1,Regular,2019,Be precise and to the point in your answer,8
MCA,1,Regular,2019,-3.EnrollmentNo',8
MCA,1,Regular,2019,-s.,11
MCA,1,Regular,2019,What is data? How it differ from information? Explain',8
MCA,1,Regular,2019,.,8
MCA,1,Regular,2019,Give Antonyms for the words : (a) Leave 0) Real,6
MCA,1,Regular,2019,.,6
MCA,2,Regular,2023,"Figures to the right indicate ful1marks, Course Outcomes and BL Pattem Level.2. This Question paper has two sections. Each section should be written in a separate",1
MCA,2,Regular,2023,"Section I consist of 03 question, Question I of 8 Marks, Question 2 of 11 Marks and",8
MCA,2,Regular,2023,"uestion 3 of 11 Marks with options respectively. Section II consist of 03 question,",11
MCA,2,Regular,2023,3 C I-Jou'to perforu clifl-elent operation on Data fi-ame? Describe CO4 BTL4,8
MCA,2,Regular,2023,"Figures to the right indicate full marks, Course Outcomes and BL patter-n Level.2' This Question paper has two sections. Each section should be written in a separate",60
MCA,2,Regular,2023,"Section I consist of 03 question, Question 1 of 8 Marks, Question 2 of 11 Marks and",8
MCA,2,Regular,2023,"uestion 3 of 11 Marks with options respectively"" Section II consist of 03 question,",11
MCA,2,Regular,2023,3CExplain the process of creating a package ln PL/SQL. 6BTL2,8
MCA,2,Regular,2023,This Question paper has two sections. Each section shouid be written in a separate,60
MCA,2,Regular,2023,"Section I consist of 03 question, Question 1 of 8 Marks, Question 2 of 11 Marks and",8
MCA,2,Regular,2023,"uestion 3 of i 1 Marks with options respectively. Section II consist of 03 question,",1
MCA,2,Regular,2023,3CUsing suitable exaurple progranls explain purpose and,8
MCA,1,Regular,2018,-1.Fisures to the right indicate full marks,11
MCA,1,Regular,2018,-s.(01),1
MCA,1,Regular,2018,-4.SECTION-II,1
MCA,1,Regular,2018,-6. tAl Answer the following: (Any Two),10
MCA,1,Regular,2018,"Figures to the right indicate full marks2. Each section should be ri.ritten in a separ4te answer book3. Be precise and to the point in 1,our uni*"". ,",10
MCA,1,Regular,2018,-6.,8
MCA,1,Regular,2018,Explain in brief : TCP/IP Model,1
MCA,1,Regular,2018,What is ATM? How ATM Network wor.ks?(08),8
MCA,1,Regular,2018,.,4
MCA,1,Regular,2018,(01),1
MCA,1,Regular,2018,.,8
MCA,1,Regular,2018,),8
MCA,1,Regular,2018,(10),10
MCA,1,Regular,2018,),10
MCA,1,Regular,2018,;,1
MCA,1,Regular,2018,"I have salad fbr dinner,",1
MCA,1,Regular,2018,),8
MCA,1,Remedial,2017,-s,8
MCA,1,Remedial,2017,(A)L Figures to tlie right indicate full marks2. Each section should be written in a separate answer book3. Be precise and to the point in your answer,8
MCA,1,Remedial,2017,(A),1
MCA,1,Remedial,2017,(A),3
MCA,1,Remedial,2017,(A)SECTION.II,1
MCA,1,Remedial,2017,"2SI,CTION _ I",1
MCA,1,Remedial,2017,3,2
MCA,1,Remedial,2017,3(08),8
MCA,1,Remedial,2017,4 Ms. Kalpana Ray has shifted to her new residence last month. She owns a Family Floter Mediclaim (0S),6
MCA,1,Remedial,2017,"5 (l) Anuradha Textile Mills Pvt. Ltd., Bharuch is a producer of fine fabrics. The company wishes to (06)",6
MCA,1,Remedial,2017,5 (l) Prepare chronological resume of Ms Aditi Kappor who is M.Tech in Computer Science + MBA (06),6
MCA,1,Remedial,2017,6 (1) What is oProposal'? Discuss the objectives of Proposals in short.,1
MCA,1,Remedial,2017,"6 (1) Explain: (l) Authors and Affiliations (2) R.3tfi, in Research Paper",1
MCA,1,Remedial,2017,l),6
MCA,1,Remedial,2017,-l,8
MCA,1,Remedial,2017,"-2 [Al Anslver flre lrollon,ing (Anv .I.hree)",7
MCA,1,Remedial,2017,"'75''1't"" ""t""o1lf lbr lts'27""i ri itl",2
MCA,1,Remedial,2017,-4,4
MCA,1,Remedial,2017,-s tBI,4
MCA,1,Remedial,2017,"-6 tAl .,\nsrver the follorving(Any .l.hree)(l) ln a box. rrrereare s rea, zftu. ur.i6 green bars. o,e ba, is picked up (0g)",9
MCA,1,Remedial,2017,"-6 tBl Ans*,er the.follorving(Any One)(l) Ticl<etsnunrbered r,J)oir-ri.r"",t ,pandthenticketisclrawnatrarrdorn. $2)",3
MCA,1,Remedial,2017,l'ime: 3 I'[ours]Renledial April - June 2017,2
MCA,1,Remedial,2017,What is jQuery? Explain any thlee jQuery elibcts',2
MCA,1,Remedial,2017,Explain an1' four ]:lootstrap lornr itlpr-rts,10
MCA,1,Regular,2017,Be precise and to the point in your answer,8
MCA,1,Regular,2017,AA.,1
MCA,1,Regular,2017,(A),8
MCA,1,Regular,2017,.,3
MCA,1,Regular,2017,Be precise and to the point in ycur answer,3
MCA,1,Regular,2017,(A),5
MCA,1,Regular,2017,",."",\",2
MCA,1,Regular,2017,-3. Answer the following: (Any Trvo) {1U,5
MCA,1,Regular,2017,-5.,8
MCA,1,Regular,2017,"(A) Ansrver thc follorving (ANYT\{O )-' ii) plsctiir"" sof-trvare proi""ss and project meffics'",1
MCA,1,Regular,2017,(A) Answer the following (ANY TWO ),3
MCA,1,Regular,2017,di What is White-box Testing?,1
MCA,1,Regular,2017,-1. Ans*'er the following: (S8i,10
MCA,1,Regular,2017,-2.(01),1
MCA,1,Regular,2017,"-3""",10
MCA,1,Regular,2017,"il""",10
MCA,1,Regular,2018,.,1
MCA,1,Regular,2018,Figures to the right indieate full marks,1
MCA,1,Regular,2018,"(B)What do You mean bY ""Sockets""?",3
MCA,1,Regular,2018,-s.SBCTION.I,3
MCA,1,Regular,2018,Be precise and to the polnt in your answer,11
MCA,1,Regular,2018,"""(A)",4
MCA,1,Regular,2018,"""(A)(i)",3
MCA,1,Regular,2018,",(B)(o8)",2
MCA,1,Regular,2018,",",10
MCA,1,Regular,2018,"""(A)",3
MCA,1,Regular,2018,.,10
MCA,1,Regular,2018,-2. tAI,8
MCA,1,Regular,2018,-s.tBl 4210 38 35 33 31,10
MCA,1,Regular,2018,23(01),1
MCA,1,Regular,2018,"-3. [B] If the cosr price is96% of sp trre, whar is the profit 9i,. (01)",1
MCA,1,Regular,2018,(A) Do as directed.,10
MCA,1,Regular,2018,Answer the following Questions.(Any Two)Nov- Dec 20L8 [Total Marks: 60,4
MCA,1,Regular,2018,(1),1
MCA,1,Regular,2018,(A) Do as Directed.,11
MCA,1,Regular,2018,),1
MCA,1,Regular,2019,Be precise and to the point in your answer.,11
MCA,1,Regular,2019,(1 1),4
MCA,1,Regular,2019,Answer the following (ANY FOUR),3
MCA,1,Regular,2019,s - {s+ - (tl+ 2.8 - p)\ x 4.25 + (0'2)2 :,4
MCA,1,Regular,2019,8,8
MCA,1,Regular,2019,A Find square root of 0'900087 up to 3 places of decimal',3
MCA,1,Regular,2019,Answer the following (ANY TWO) (8),8
MCA,1,Regular,2019,Answer the following (ANY FOUR),3
MCA,1,Regular,2019,What is the share of B?,8
MCA,1,Regular,2019,Answer the following (ANY TWO),5
MCA,1,Regular,2019,"more, Find the sum,",2
MCA,1,Regular,2019,Answer the following (ANY TWO),3
MCA,1,Regular,2019,Answer the following (0S),8
MCA,1,Regular,2019,Answer the following (Any Two) (11)(1) Draw a neat sketch of TCP / IP Reference models and discuss.,11
MCA,1,Regular,2019,Answer the following (Any Two) (11),11
MCA,1,Regular,2019,),1
MCA,1,Regular,2019,),1
MCA,1,Regular,2019,' Be Precisethe right indicate full marks',3
MCA,1,Regular,2019,"Answer the following (Any Tlvo) -n: -:1^, r\^+^ (11)",11
MCA,1,Regular,2019,.,8
MCA,1,Regular,2019,(1),1
MCA,1,Regular,2019,Be precise and to the point in your answer,11
MCA,1,Regular,2019,.517i.5-,8
MCA,1,Regular,2019,(A),11
MCA,1,Regular,2017,(A) Answer the following Questions'(Any Two),1
MCA,1,Regular,2017,(A),3
MCA,1,Regular,2017,(A)(08),8
MCA,1,Regular,2017,),1
MCA,1,Regular,2017,"April - June 2017Enrollment No,",8
MCA,1,Regular,2017,'(B) Give exampre of geneiating excer spreadsheet using servlet.,1
MCA,1,Regular,2017,"(A) Answer the following (Any One)(1) How can ybu handt"".o-oiiu;'r#;lervtet?(2) Explain session tracking ApL {",1
MCA,1,Regular,2017,",(B) Answer the following (Any One)(1) what 1? yry mean by accumurating a rist of user data? (z) Give exampre of erroipage and iii.?Jrpug"".",1
MCA,1,Regular,2017,"(A) Answer the following (Any One)(1) What is jsp:forward anA jsp,inctuOtZ(2) Exampre of executeQuery and executeUpdate.",1
MCA,1,Regular,2017,(B) Answer the foliowing (Any One)(1) Give two uses declaratlons in;.rp.-'(2) Example of MVC with RequestDispatcher.(s),1
MCA,1,Regular,2017,(A) Answer the following (3)(1) Give two development environments for JSF.(2) Expression language syntax in lSF.(3) Use of <ui:remove>,3
MCA,1,Regular,2017,(B) Explain ISF framework services. (5),5
MCA,1,Regular,2017,{A) A*rswer the following (Any One) (5),5
MCA,1,Regular,2017,(B) Answer the following (Any One) (6),6
MCA,1,Regular,2017,(A) Answer the following (Any One) (5),5
MCA,1,Regular,2017,(8) Answer the following (Any One) (6),8
MCA,1,Regular,2017,-3.(1 0),2
MCA,1,Regular,2017,(A) Answer fhe followingI List out type of Sampling.II Define Term: Drill down and Roll_Up.m What is Data Integration?IV Differentiate between Data warehouse and Data Mart.,12
MCA,1,Regular,2017,Answer the following,8
MCA,1,Regular,2017,(A) Do as directed.,11
MCA,1,Regular,2017,(L),10
MCA,1,Regular,2017,(A),3
MCA,1,Regular,2017,(A),1
MCA,1,Regular,2017,-3 (A) Ansrver the followings.(Any Twb)1) Explain the public key cryptography principles in brief.2) Discuss the x.509 directory authenticationiervice in detail.3) Explain the cipher block modes of op,3
MCA,1,Regular,2017,),8
MCA,1,Regular,2017,-6(01),1
MCA,1,Regular,2017,",Be precise and to the point in your answer[Total Marks:60",1
MCA,1,Regular,2017,Discuss the pretty good privacy in brief.,8
MCA,1,Regular,2017,),10
MCA,1,Regular,2017,(A) Answer the following,1
MCA,1,Regular,2017,", (B)",4
MCA,1,Regular,2017,",li *, b) B2c c) cry. d) c2c'",2
MCA,1,Regular,2017,(1),1
MCA,1,Regular,2017,(A),3
MCA,1,Regular,2017,(B),4
MCA,1,Regular,2017,.,2
MCA,1,Regular,2017,(2),2
MCA,1,Regular,2017,',3
MCA,1,Regular,2018,),10
MCA,1,Regular,2018,Write application structure of Laravel and explain in brief.,10
MCA,1,Regular,2018,"Answer the following,",1
MCA,1,Regular,2018,(A) Answer the following; (Any Two) {10),8
MCA,1,Regular,2018,(A) Answer.the following: (Any Two) (10),10
MCA,1,Regular,2018,", Answer the following,",1
MCA,1,Regular,2018,"""",1
MCA,1,Regular,2018,"""(A)",4
MCA,1,Regular,2018,(B),3
MCA,1,Regular,2018,(A),2
MCA,1,Regular,2018,(B),3
MCA,1,Regular,2018,(B),10
MCA,1,Regular,2018,"""tA)",3
MCA,1,Regular,2018,(B),3
MCA,1,Regular,2018,", Answer the following""",1
MCA,1,Regular,2018,Be precise and to the point in your answer,8
MCA,1,Regular,2018,lYrite the short note on secure eleetronic transaction.,2
