Exam_Year,Exam_Type,Subject_Code,Subject_Name,Section,Question_No,Sub_Question,Question_Text,Marks,CO,Bloom_Taxonomy
Nov-Dec 2019,Regular,U11A3WD1,Web Designing-I,II,Q4,A,Elaborate the JavaScript function with example.,6,,
Nov-Dec 2019,Regular,U11A3WD1,Web Designing-I,II,Q4,B,Explain the JavaScript display possibilities with example.,6,,
Nov-Dec 2019,Regular,U11A4IT,Information Technology,I,Q1,A,What is Information? Explain characteristics of Information.,6,,
Nov-Dec 2019,Regular,U11A4IT,Information Technology,I,Q1,B,Explain scanner with different types.,6,,
Nov-Dec 2019,Regular,U11A4IT,Information Technology,I,Q1,C,"Discuss: BIOS, Windows Registry, Msconfig",6,,
Nov-Dec 2019,Regular,U11A4IT,Information Technology,I,Q1,D,Differentiate: Compilers V/S Interpreter,6,,
Nov-Dec 2019,Regular,U11A4IT,Information Technology,I,Q1,E,Explain different types of ROM.,6,,
Nov-Dec 2019,Regular,U11A4IT,Information Technology,I,Q1,F,Write a short note on DMA.,6,,
Nov-Dec 2019,Regular,U11A4IT,Information Technology,I,Q1,G,Explain Internal Structure of Microprocessor.,6,,
Nov-Dec 2019,Regular,U11A4IT,Information Technology,II,Q2,A,Explain Modem in brief.,6,,
Nov-Dec 2019,Regular,U11A4IT,Information Technology,II,Q2,B,Write a short note on printer.,6,,
Nov-Dec 2019,Regular,U11A4IT,Information Technology,II,Q2,C,Write steps to schedule automatic disk clean up.,6,,
Nov-Dec 2019,Regular,U11A4IT,Information Technology,II,Q3,A,Write a short note on Assembly language.,6,,
Nov-Dec 2019,Regular,U11A4IT,Information Technology,II,Q3,B,Explain different types of software in detail.,6,,
Nov-Dec 2019,Regular,U11A4IT,Information Technology,II,Q3,C,What is interrupt? Explain different types of interrupts.,6,,
Nov-Dec 2019,Regular,U11A4IT,Information Technology,II,Q4,A,Write a short note on an Ideal Microcomputer.,6,,
Nov-Dec 2019,Regular,U11A4IT,Information Technology,II,Q4,B,Explain Data Bus in Detail.,6,,
Nov-Dec 2019,Regular,U11A5FM,Fundamental of Mathematics,I,Q1,1,"Define: Symmetric difference of Set, Skew Symmetric Matrix, Diagonal Matrix",6,,
Nov-Dec 2019,Regular,U11A5FM,Fundamental of Mathematics,I,Q1,2,Write a short note on pigeonhole principle in details.,6,,
Nov-Dec 2019,Regular,U11A5FM,Fundamental of Mathematics,I,Q1,3,Write a short note on One to One Function,6,,
Nov-Dec 2019,Regular,U11A5FM,Fundamental of Mathematics,I,Q1,4,The population of a town is 7000 persons (newspaper reading problem),6,,
Nov-Dec 2019,Regular,U11A5FM,Fundamental of Mathematics,I,Q1,5,"Define: Simple Graph, Null Graph, Trivial Graph",6,,
Nov-Dec 2019,Regular,U11A5FM,Fundamental of Mathematics,I,Q1,6,Prove That nCn = 1.,6,,
Nov-Dec 2019,Regular,U11A5FM,Fundamental of Mathematics,I,Q1,7,"Find the value of the Permutation: 8P4, 9P5, 15P3",6,,
Nov-Dec 2019,Regular,U11A5FM,Fundamental of Mathematics,II,Q2,1,"In a group of 60 people, 27 like cold drinks and 42 like hot drinks - How many like both?",6,,
Nov-Dec 2019,Regular,U11A5FM,Fundamental of Mathematics,II,Q2,2,Matrix addition: Find A+B for given 3x3 matrices.,6,,
Nov-Dec 2019,Regular,U11A5FM,Fundamental of Mathematics,II,Q2,3,Define Transpose of matrix and Symmetric diagonal matrices.,6,,
Nov-Dec 2019,Regular,U11A5FM,Fundamental of Mathematics,II,Q3,1,What is Graph? Write a short note on Hamiltonian graphs.,6,,
Nov-Dec 2019,Regular,U11A5FM,Fundamental of Mathematics,II,Q3,2,Explain Domain and Range of function with example.,6,,
Nov-Dec 2019,Regular,U11A5FM,Fundamental of Mathematics,II,Q3,3,Define Bipartite Graph and Regular Graph.,6,,
Nov-Dec 2019,Regular,U11A5FM,Fundamental of Mathematics,II,Q4,1,Write a short note on ordered and unordered partitions.,6,,
Nov-Dec 2019,Regular,U11A5FM,Fundamental of Mathematics,II,Q4,2,Write a short note on factorial notation with example.,6,,
Nov-Dec 2019,Regular,U11B6CS1,Language & Communication Skills-I,I,Q1,1,Effective skills of communication are part and parcel of everybody's life.,6,,
Nov-Dec 2019,Regular,U11B6CS1,Language & Communication Skills-I,I,Q1,2,What do you mean by the word 'Communication'? Explain the Process of communication with diagram.,6,,
Nov-Dec 2019,Regular,U11B6CS1,Language & Communication Skills-I,I,Q1,3,How does Hearing differ from Listening? Explain traits of good listening.,6,,
Nov-Dec 2019,Regular,U11B6CS1,Language & Communication Skills-I,I,Q1,4,Discuss simple present tense and perfect present tense with an example.,6,,
Nov-Dec 2019,Regular,U11B6CS1,Language & Communication Skills-I,I,Q1,5,What are the reasons for poor comprehension? How can it be improved?,6,,
Nov-Dec 2019,Regular,U11B6CS1,Language & Communication Skills-I,I,Q1,6,Discuss the Date and Complimentary Close as the compulsory parts of letter writing.,6,,
Nov-Dec 2019,Regular,U11B6CS1,Language & Communication Skills-I,I,Q1,7,What are the characteristics of an erudite speaker?,6,,
Nov-Dec 2019,Regular,U11B6CS1,Language & Communication Skills-I,II,Q3,1,Listening is of highest importance for professionals since it consumes 45% of the professional time.,12,,
Nov-Dec 2019,Regular,U11B6CS1,Language & Communication Skills-I,II,Q3,2,What is speaking? What kind of points should we keep in our mind while speaking?,12,,
Nov-Dec 2019,Regular,U11B6CS1,Language & Communication Skills-I,II,Q3,3,Differentiate between skimming and scanning with explanation and example.,12,,
Nov-Dec 2019,Regular,U11B6CS1,Language & Communication Skills-I,II,Q4,1,Elaborate the 7Cs of communication.,6,,
Nov-Dec 2019,Regular,U11B6CS1,Language & Communication Skills-I,II,Q4,2,Write a letter to your friend congratulating him/her on his/her success in class 12 board exam.,6,,
Nov-Dec 2022,Regular,U11A1IP1,Introduction to Programming-I,I,Q1,a,What is Flowchart? Illustrate General Rules for creating Flowchart.,6,,
Nov-Dec 2022,Regular,U11A1IP1,Introduction to Programming-I,I,Q1,b,Explain basic structure of C Program with example.,6,,
Nov-Dec 2022,Regular,U11A1IP1,Introduction to Programming-I,I,Q1,c,Create an Algorithm and draw a Flowchart to find sum of all the integers greater than 100 and less than 200 that are divisible by 7.,6,,
Nov-Dec 2022,Regular,U11A1IP1,Introduction to Programming-I,I,Q1,d,How to define Symbolic Constants in C Language? Explain rules to define Symbolic Constants.,6,,
Nov-Dec 2022,Regular,U11A1IP1,Introduction to Programming-I,I,Q1,e,Explain Conditional and Special Operators with proper example.,6,,
Nov-Dec 2022,Regular,U11A1IP1,Introduction to Programming-I,I,Q1,f,Discuss switch case statement with proper example.,6,,
Nov-Dec 2022,Regular,U11A1IP1,Introduction to Programming-I,I,Q1,g,Demonstrate break and continue statement with example.,6,,
Nov-Dec 2022,Regular,U11A1IP1,Introduction to Programming-I,II,Q2,a,What is Algorithm? Explain Branching Type of Algorithm with example.,6,,
Nov-Dec 2022,Regular,U11A1IP1,Introduction to Programming-I,II,Q2,b,Write a short note on C Tokens.,6,,
Nov-Dec 2022,Regular,U11A1IP1,Introduction to Programming-I,II,Q2,c,Discuss various properties of Algorithm.,6,,
Nov-Dec 2022,Regular,U11A1IP1,Introduction to Programming-I,II,Q3,a,What is Operator? Explain Increment and Decrement operators with example.,6,,
Nov-Dec 2022,Regular,U11A1IP1,Introduction to Programming-I,II,Q3,b,Explain Nested if...else statement with proper example.,6,,
Nov-Dec 2022,Regular,U11A1IP1,Introduction to Programming-I,II,Q3,c,Write a C Program to find smallest numbers among three numbers.,6,,
Nov-Dec 2022,Regular,U11A1IP1,Introduction to Programming-I,II,Q4,a,Write a c program to find sum of first 100 natural odd numbers and even numbers.,6,,
Nov-Dec 2022,Regular,U11A1IP1,Introduction to Programming-I,II,Q4,b,What is looping? Explain for loop with proper example.,6,,
Nov-Dec 2022,Regular,U11A2OAT,Office Automation Tools,I,Q1,1,What is DOS? Explain any five Internal commands of DOS.,6,,
Nov-Dec 2022,Regular,U11A2OAT,Office Automation Tools,I,Q1,2,"Define terms: Header, Footer, Footnote, Endnote, Drop cap, Watermark.",6,,
Nov-Dec 2022,Regular,U11A2OAT,Office Automation Tools,I,Q1,3,Discuss Any five Mathematical Function in MS Excel.,6,,
Nov-Dec 2022,Regular,U11A2OAT,Office Automation Tools,I,Q1,4,Write a short note on Custom Animation.,6,,
Nov-Dec 2022,Regular,U11A2OAT,Office Automation Tools,I,Q1,5,What is MS-Access? Describe steps to creating Database in MS-Access.,6,,
Nov-Dec 2022,Regular,U11A2OAT,Office Automation Tools,I,Q1,6,Describe MS-Access Data types.,6,,
Nov-Dec 2022,Regular,U11A2OAT,Office Automation Tools,I,Q1,7,"Compare Word, Excel and PowerPoint.",6,,
Nov-Dec 2022,Regular,U11A2OAT,Office Automation Tools,II,Q2,1,What is Batch file? Discuss with an example.,6,,
Nov-Dec 2022,Regular,U11A2OAT,Office Automation Tools,II,Q2,2,What is Mail Merge? Define step of Mail Merge.,6,,
Nov-Dec 2022,Regular,U11A2OAT,Office Automation Tools,II,Q2,3,Difference between DOS and Window.,6,,
Nov-Dec 2022,Regular,U11A2OAT,Office Automation Tools,II,Q3,1,Discuss Any five Date-Time Function in MS Excel.,6,,
Nov-Dec 2022,Regular,U11A2OAT,Office Automation Tools,II,Q3,2,What is MS PowerPoint? Discuss features of MS PowerPoint.,6,,
Nov-Dec 2022,Regular,U11A2OAT,Office Automation Tools,II,Q3,3,"Define terms: Naming Range, Pivot Table, Goal Seek",6,,
Nov-Dec 2022,Regular,U11A2OAT,Office Automation Tools,II,Q4,1,Explain MS-Access Object.,6,,
Nov-Dec 2022,Regular,U11A2OAT,Office Automation Tools,II,Q4,2,How to Filtering data in MS-Access?,6,,
Nov-Dec 2022,Regular,U11A3WD1,Web Designing-I,I,Q1,1,Write a short note on Internet.,6,,
Nov-Dec 2022,Regular,U11A3WD1,Web Designing-I,I,Q1,2,Explain various background properties of CSS.,6,,
Nov-Dec 2022,Regular,U11A3WD1,Web Designing-I,I,Q1,3,Which tag is used to create hyperlink in HTML? Explain it with suitable example.,6,,
Nov-Dec 2022,Regular,U11A3WD1,Web Designing-I,I,Q1,4,Discuss various text formatting tags of HTML.,6,,
Nov-Dec 2022,Regular,U11A3WD1,Web Designing-I,I,Q1,5,Explain the use of drag and drop API of HTML5.,6,,
Nov-Dec 2022,Regular,U11A3WD1,Web Designing-I,I,Q1,6,Discuss the advantages and features of JavaScript.,6,,
Nov-Dec 2022,Regular,U11A3WD1,Web Designing-I,I,Q1,7,Give the output of the JavaScript code: var x=20; var temp = function(){console.log(x); var x=18;}; temp();,6,,
Nov-Dec 2022,Regular,U11A3WD1,Web Designing-I,II,Q2,1,What is web site? State the difference between static and dynamic website.,6,,
Nov-Dec 2022,Regular,U11A3WD1,Web Designing-I,II,Q2,2,Write an HTML code to design an inquiry page.,6,,
Nov-Dec 2022,Regular,U11A4IT,Information Technology,I,Q1,1,Discuss any three Input and Output Devices.,6,,
Nov-Dec 2022,Regular,U11A4IT,Information Technology,I,Q1,2,Discuss Internet Access in detail.,6,,
Nov-Dec 2022,Regular,U11A4IT,Information Technology,I,Q1,3,Write a short note on Scripting Language.,6,,
Nov-Dec 2022,Regular,U11A4IT,Information Technology,I,Q1,4,Write down steps for formatting computer.,6,,
Nov-Dec 2022,Regular,U11A4IT,Information Technology,I,Q1,5,"Discuss Language Processor: Compiler, Interpreter and Assembler.",6,,
Nov-Dec 2022,Regular,U11A4IT,Information Technology,I,Q1,6,Discuss Block Diagram of Micro Computer in detail.,6,,
Nov-Dec 2022,Regular,U11A4IT,Information Technology,I,Q1,7,Explain Direct Memory Access (DMA) in detail.,6,,
Nov-Dec 2022,Regular,U11A4IT,Information Technology,II,Q2,1,Different between CD and DVD in details.,6,,
Nov-Dec 2022,Regular,U11A4IT,Information Technology,II,Q2,2,Explain BIOS in detail.,6,,
Nov-Dec 2022,Regular,U11A4IT,Information Technology,II,Q2,3,What is Port? Explain types of port in details.,6,,
Nov-Dec 2022,Regular,U11A4IT,Information Technology,II,Q3,1,Describe the Generation of Programming Language in details.,6,,
Nov-Dec 2022,Regular,U11A4IT,Information Technology,II,Q3,2,Write a short note on Programmed I/O.,6,,
Nov-Dec 2022,Regular,U11A4IT,Information Technology,II,Q3,3,Discuss Interrupt in detail.,6,,
Nov-Dec 2022,Regular,U11A4IT,Information Technology,II,Q4,1,Differentiate between RAM and ROM.,6,,
Nov-Dec 2022,Regular,U11A4IT,Information Technology,II,Q4,2,"Define following terms: Data Bus, Address Bus, Control Bus",6,,
Jan-Feb 2023,Regular,U11A1IP1,Introduction to Programming-I,I,Q1,a,Explain basic structure of C Program with example.,6,,
Jan-Feb 2023,Regular,U11A1IP1,Introduction to Programming-I,I,Q1,b,What is Algorithm? Explain Branching Type of Algorithm with example.,6,,
Jan-Feb 2023,Regular,U11A1IP1,Introduction to Programming-I,I,Q1,c,Create an Algorithm and draw a Flowchart to find sum of all the integers greater than 100 and less than 200 that are divisible by 5.,6,,
Jan-Feb 2023,Regular,U11A1IP1,Introduction to Programming-I,I,Q1,d,How to define Symbolic Constants in C Language? Explain rules to define Symbolic Constants.,6,,
Jan-Feb 2023,Regular,U11A1IP1,Introduction to Programming-I,I,Q1,e,What is Operator? Explain Increment and Decrement operators with example.,6,,
Jan-Feb 2023,Regular,U11A1IP1,Introduction to Programming-I,I,Q1,f,Explain Nested if...else statement with proper example.,6,,
Jan-Feb 2023,Regular,U11A1IP1,Introduction to Programming-I,I,Q1,g,What is looping? Explain for loop with proper example.,6,,
Jan-Feb 2023,Regular,U11A1IP1,Introduction to Programming-I,II,Q2,a,What is Flowchart? Illustrate General Rules for creating Flowchart.,6,,
Jan-Feb 2023,Regular,U11A1IP1,Introduction to Programming-I,II,Q2,b,Write a short note on C Tokens.,6,,
Jan-Feb 2023,Regular,U11A1IP1,Introduction to Programming-I,II,Q2,c,Discuss various properties of Algorithm.,6,,
Jan-Feb 2023,Regular,U11A1IP1,Introduction to Programming-I,II,Q3,a,Explain Conditional and Special Operators with proper example.,6,,
Jan-Feb 2023,Regular,U11A1IP1,Introduction to Programming-I,II,Q3,b,Write a C Program to find smallest number from given three numbers.,6,,
Jan-Feb 2023,Regular,U11A1IP1,Introduction to Programming-I,II,Q3,c,Discuss switch case statement with proper example.,6,,
Jan-Feb 2023,Regular,U11A1IP1,Introduction to Programming-I,II,Q4,a,Write a c program to calculate the average of a set of N numbers.,6,,
Jan-Feb 2023,Regular,U11A1IP1,Introduction to Programming-I,II,Q4,b,Demonstrate break and continue statement with example.,6,,
Jan-Feb 2023,Regular,U11A2OAT,Office Automation Tools,I,Q1,1,Difference between DOS and Window.,6,,
Jan-Feb 2023,Regular,U11A2OAT,Office Automation Tools,I,Q1,2,"Define Terms: Header, Footer, Footnote, Endnote, Drop cap, Watermark.",6,,
Jan-Feb 2023,Regular,U11A2OAT,Office Automation Tools,I,Q1,3,Discuss Any five Date-Time Function in MS Excel.,6,,
Jan-Feb 2023,Regular,U11A2OAT,Office Automation Tools,I,Q1,4,What is MS PowerPoint? Discuss Slide Transition.,6,,
Jan-Feb 2023,Regular,U11A2OAT,Office Automation Tools,I,Q1,5,What is MS-Access? Describe steps to creating Database in MS-Access.,6,,
Jan-Feb 2023,Regular,U11A2OAT,Office Automation Tools,I,Q1,6,Explain MS-Access Object.,6,,
Jan-Feb 2023,Regular,U11A2OAT,Office Automation Tools,I,Q1,7,"Compare Word, Excel and PowerPoint.",6,,
Jan-Feb 2023,Regular,U11A2OAT,Office Automation Tools,II,Q2,1,What is Mail Merge? Define step of Mail Merge.,6,,
Jan-Feb 2023,Regular,U11A2OAT,Office Automation Tools,II,Q2,2,What is Batch file? Discuss with an example.,6,,
Jan-Feb 2023,Regular,U11A2OAT,Office Automation Tools,II,Q2,3,What is DOS? Explain any five Internal Commands of DOS.,6,,
Jan-Feb 2023,Regular,U11A2OAT,Office Automation Tools,II,Q3,1,Discuss Any five Mathematical Function in MS Excel.,6,,
Jan-Feb 2023,Regular,U11A2OAT,Office Automation Tools,II,Q3,2,Write a short note on Custom Animation.,6,,
Jan-Feb 2023,Regular,U11A2OAT,Office Automation Tools,II,Q3,3,"Define Terms: Naming Range, Pivot Table, Goal Seek",6,,
Jan-Feb 2023,Regular,U11A2OAT,Office Automation Tools,II,Q4,1,Describe MS-Access Data Types.,6,,
Jan-Feb 2023,Regular,U11A2OAT,Office Automation Tools,II,Q4,2,How to filtering Data in MS-Access?,6,,
Jan-Feb 2023,Regular,U11A3WD1,Web Designing-I,I,Q1,1,What is the URL? Explain the structure of the URL in brief.,6,,
Jan-Feb 2023,Regular,U11A3WD1,Web Designing-I,I,Q1,2,Explain the HTML web page structure in detail.,6,,
Jan-Feb 2023,Regular,U11A3WD1,Web Designing-I,I,Q1,3,Explain the HTML Drag and drop features with examples.,6,,
Jan-Feb 2023,Regular,U11A3WD1,Web Designing-I,I,Q1,4,Describe the CSS Font properties in detail.,6,,
Jan-Feb 2023,Regular,U11A3WD1,Web Designing-I,I,Q1,5,Explain the JavaScript operators in detail.,6,,
Jan-Feb 2023,Regular,U11A3WD1,Web Designing-I,I,Q1,6,Discuss the Table tag with its all elements and examples.,6,,
Jan-Feb 2023,Regular,U11A3WD1,Web Designing-I,I,Q1,7,State the difference between Static & Dynamic Web sites.,6,,
Jan-Feb 2023,Regular,U11A3WD1,Web Designing-I,II,Q2,1,"State the difference between Internets, Intranet & Extranet.",6,,
Jan-Feb 2023,Regular,U11A3WD1,Web Designing-I,II,Q2,2,Explain the Element of List Tag in detail with an example.,6,,
Jan-Feb 2023,Regular,U11A3WD1,Web Designing-I,II,Q2,3,Writes a HTML code for the creation of Student registration form.,6,,
Jan-Feb 2023,Regular,U11A3WD1,Web Designing-I,II,Q3,1,Explain New Semantic Tags in HTML 5,6,,
Jan-Feb 2023,Regular,U11A3WD1,Web Designing-I,II,Q3,2,Explain CSS background properties with proper examples.,6,,
Jan-Feb 2023,Regular,U11A3WD1,Web Designing-I,II,Q3,3,Write an HTML5 code to create audio and video.,6,,
Jan-Feb 2023,Regular,U11A3WD1,Web Designing-I,II,Q4,1,How can we perform looping in JavaScript? Explain with examples.,6,,
Jan-Feb 2023,Regular,U11A3WD1,Web Designing-I,II,Q4,2,Elaborate the JavaScript function with an example.,6,,
Jan-Feb 2023,Regular,U11A4IT,Information Technology,I,Q1,1,Discuss DMA in brief,6,,
Jan-Feb 2023,Regular,U11A4IT,Information Technology,I,Q1,2,What is Information? Explain Characteristics of Information in brief.,6,,
Jan-Feb 2023,Regular,U11A4IT,Information Technology,I,Q1,3,Give difference between High Level Language and Low Level Language.,6,,
Jan-Feb 2023,Regular,U11A4IT,Information Technology,I,Q1,4,What is software? Explain System Software and Application Software.,6,,
Jan-Feb 2023,Regular,U11A4IT,Information Technology,I,Q1,5,Elaborate Memory System for Micro Computer.,6,,
Jan-Feb 2023,Regular,U11A4IT,Information Technology,I,Q1,6,List out basic software problem and Discuss various method to fix.,6,,
Jan-Feb 2023,Regular,U11A4IT,Information Technology,I,Q1,7,Explain Scanner with types.,6,,
Jan-Feb 2023,Regular,U11A4IT,Information Technology,II,Q2,1,"Define: OMR, MICR, OCR",6,,
Jan-Feb 2023,Regular,U11A4IT,Information Technology,II,Q2,2,Discuss BIOS and Registry with suitable example.,6,,
Jan-Feb 2023,Regular,U11A4IT,Information Technology,II,Q2,3,Explain Printer with types In detail,6,,
Jan-Feb 2023,Regular,U11A4IT,Information Technology,II,Q3,1,Write down difference between machine level & assembly language,6,,
Jan-Feb 2023,Regular,U11A4IT,Information Technology,II,Q3,2,Write a short note on Scripting Language.,6,,
Jan-Feb 2023,Regular,U11A4IT,Information Technology,II,Q3,3,"Discuss usage of Compiler, Interpreter and Assembler.",6,,
Jan-Feb 2023,Regular,U11A4IT,Information Technology,II,Q4,1,Explain basic block diagram of a micro-computer,6,,
Jan-Feb 2023,Regular,U11A4IT,Information Technology,II,Q4,2,Discuss Structure of Microprocessor in detail.,6,,
Apr-Jun 2023,Remedial,U11A1IP1,Introduction to Programming-I,I,Q1,a,List out Types of Algorithm. Discuss any one type of Algorithm with example.,6,,
Apr-Jun 2023,Remedial,U11A1IP1,Introduction to Programming-I,I,Q1,b,Write an Algorithm to print 'DCS-GNU' ten times using loops.,6,,
Apr-Jun 2023,Remedial,U11A1IP1,Introduction to Programming-I,I,Q1,c,Write a short note on Primary Data Types.,6,,
Apr-Jun 2023,Remedial,U11A1IP1,Introduction to Programming-I,I,Q1,d,Explain Increment and Decrement operators with example.,6,,
Apr-Jun 2023,Remedial,U11A1IP1,Introduction to Programming-I,I,Q1,e,Explain Nested if...else statement with proper example.,6,,
Apr-Jun 2023,Remedial,U11A1IP1,Introduction to Programming-I,I,Q1,f,What is looping? Explain for loop with proper example.,6,,
Apr-Jun 2023,Remedial,U11A1IP1,Introduction to Programming-I,I,Q1,g,Write a C Program to find sum of all the numbers between 100 to 200 which are divisible by 5.,6,,
Apr-Jun 2023,Remedial,U11A1IP1,Introduction to Programming-I,II,Q2,a,What is Flowchart? Discuss various Flowchart Symbols.,6,,
Apr-Jun 2023,Remedial,U11A1IP1,Introduction to Programming-I,II,Q2,b,Discuss basic structure of C Program with example.,6,,
Apr-Jun 2023,Remedial,U11A1IP1,Introduction to Programming-I,II,Q2,c,Write a short note on Symbolic Constants.,6,,
Apr-Jun 2023,Remedial,U11A1IP1,Introduction to Programming-I,II,Q3,a,What is Logical Operator? Write a C program to find largest number among three numbers.,6,,
Apr-Jun 2023,Remedial,U11A1IP1,Introduction to Programming-I,II,Q3,b,What is switch case statement? Explain it with proper example.,6,,
Apr-Jun 2023,Remedial,U11A1IP1,Introduction to Programming-I,II,Q3,c,Explain goto statement with example.,6,,
Apr-Jun 2023,Remedial,U11A1IP1,Introduction to Programming-I,II,Q4,a,Explain while loop with proper example.,6,,
Apr-Jun 2023,Remedial,U11A1IP1,Introduction to Programming-I,II,Q4,b,Discuss break and continue statement with example.,6,,
Apr-Jun 2023,Remedial,U11A2OAT,Office Automation Tools,I,Q1,1,Discuss the difference between CUI Vs. GUI.,6,,
Apr-Jun 2023,Remedial,U11A2OAT,Office Automation Tools,I,Q1,2,"Define terms: Header, Footer, Footnote, Endnote, Drop cap, Watermark.",6,,
Apr-Jun 2023,Remedial,U11A2OAT,Office Automation Tools,I,Q1,3,Discuss Any five Mathematical Function in Excel.,6,,
Apr-Jun 2023,Remedial,U11A2OAT,Office Automation Tools,I,Q1,4,Write a short note on Custom Animation.,6,,
Apr-Jun 2023,Remedial,U11A2OAT,Office Automation Tools,I,Q1,5,"Define terms: Naming Range, Pivot Table, Goal Seek",6,,
Apr-Jun 2023,Remedial,U11A2OAT,Office Automation Tools,I,Q1,6,Describe Access Data types.,6,,
Apr-Jun 2023,Remedial,U11A2OAT,Office Automation Tools,I,Q1,7,"Compare Word, Excel and PowerPoint.",6,,
Apr-Jun 2023,Remedial,U11A2OAT,Office Automation Tools,II,Q2,1,What is DOS? Explain any five Internal commands of DOS.,6,,
Apr-Jun 2023,Remedial,U11A2OAT,Office Automation Tools,II,Q2,2,What is Batch file? Discuss with an example.,6,,
Apr-Jun 2023,Remedial,U11A2OAT,Office Automation Tools,II,Q2,3,What is Mail Merge? Define step to create Mail Merge.,6,,
Apr-Jun 2023,Remedial,U11A2OAT,Office Automation Tools,II,Q3,1,Discuss Any five Date-Time Functions in Excel.,6,,
Apr-Jun 2023,Remedial,U11A2OAT,Office Automation Tools,II,Q3,2,What is PowerPoint? Discuss features of MS PowerPoint.,6,,
Apr-Jun 2023,Remedial,U11A2OAT,Office Automation Tools,II,Q3,3,Discuss different types of Charts in PowerPoint.,6,,
Apr-Jun 2023,Remedial,U11A2OAT,Office Automation Tools,II,Q4,1,Explain MS-Access Object.,6,,
Apr-Jun 2023,Remedial,U11A2OAT,Office Automation Tools,II,Q4,2,How to Filtering data in MS-Access?,6,,
