ROW1|col0='Course'|col1='Semester'|col2='Source File'|col3='Question Text'
ROW15|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3="Bloom's Taxonomy Based Assessment Pattern: BTl-l-Remember; BTL2-Understand; B TL3 - Apply; B TL4-Anal y ze; BTL 5- Evaluate ; BTL6-Create. I Section - (Any"
ROW16|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3='Figures to the right indicate fullmarks, Course Outcomes and BL Pattern Level.'
ROW17|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3='This Question paper has two sections. Each section should be written in a separate answer book. J. Section-T consist of 07 questions of 6 marks each with options respectively.Section-Il consist of 03 questions, Question 2 of 12 Marks, Question 3 of 12 Marks and Question 4 of 6 Marks with options respectively.'
ROW18|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3='Be precise and to the point in your answer.'
ROW19|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3='CO is Course Outcome from the Subject Syllabus.'
ROW20|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3="Bloom's Taxonomy Based Assessment Pattern:BTl1-Remember;BTLZ- Understand; BTL3 - Apply; BTL4-Analy ze; BTL5 - Evaluate ; BTL6-Create. I Section - Q-1 (Any"
ROW21|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3='Figures to the right indicate full marks, Course Outcomes and BL Pattern Level. Z. This Question paper has two sections. Each section should be written in a separate answer book. J a . Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il consist of 03 questions, Question 2 of 12 Marks, Question 3 of 12 Marks and Question 4 of 6 Marks with options respectively.'
ROW22|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3='Be precise and to the point in your answer.'
ROW23|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3="CO is Course Outcome from the Subject Syllabus. Bloom's Taxonemy Based' Assessment Pattern: BTll-Remember; BTLZ-"
ROW24|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3='Figures to the right indicate fullmarks, Course Outcomes and BL Pattern Level.'
ROW25|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3='This Question paper has two sections. Each section should be written in a separate answer book.'
ROW26|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3='Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il consist of 03 questions, Question 2 of 12 Marks, Question 3 of 12 Marks and Question 4 of 6 Marks with options respectively.'
ROW27|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3='Be precise and to the point in your answer.'
ROW28|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3='CO is Course Outcome from the Subject Syllabus.'
ROW29|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3="Bloom's Taxonom.y BasedAssessmentPattem: BTll-Remember; BTL2-Understand; BTL3 - Apply ; B TL4-Anal y ze; BTL5- Evaluate ; B Tl6-Create. I Section - Q-l (Any"
ROW30|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3="Marks CO' Bloomts 30 Taxonomy Pattern I Let U - {1,2,3,4,5,6,7,8} be the Universal set and let 06 COI BTLI, / - {L,3,5,6}, B = t2,4,6,7}, C = {2,3,7,8} BTLZ, Find"
ROW31|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3='/ O a BTL6 2 Each student in Liberal Arts at some college has a 06 CO2 BTL4 & mathematics requirement A and a science requirement B. BTL5 & A poll of 150 sophomore students shows that: 70 BTL6 completed A, 50 completed B, 21 completed both A and B. Use a Venn diagram to find the number of students who . have completed:'
ROW32|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3='At least one of A and B;'
ROW33|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3='exactly one of A or B;'
ROW34|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3='neither A nor B. 3 Define the following function with 06 CO3 example. BTLI,'
ROW35|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3='Injective function'
ROW36|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3='Surjective function'
ROW37|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3='In to , BTL2, function'
ROW38|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3='Identity function'
ROW39|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3='Equal function BTL6'
ROW40|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3="Constant function 4 Define transpose of matrix and prove that 06 CO2 BTLZ (A+B)r=(A)t*(B)'for using any matrix A and B with &BTL3 order 4*4 Show that A.B + B.A. For the matrix BTL2&BT [-: s -4 o-] [: s -3 L3&BTL5 -3-l 12 4 2 3l 14 4 s 4l A=l l&B=l ls -4 -4 3l l-4 3 6 -slI l, -i 3 4.] [-o 5 -3 s] CO3 Consider the graph G BTL3, BTL4, BTL5"
ROW41|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3='Desuibe G formally, that is, find the set V'
ROW42|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3='of vertices of G and the set E(G) of edges of G.'
ROW43|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3='Find the degree of each vertex and veriS the sum of degree is twice the number of edges. CO2 Find the number n of distinct permutations that can be BTL3, formed from all the letters of each word:'
ROW44|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3="SOCIOLOGICAL. BTL6 II Section - I Q-2 (Any Two) Marks CO Bloom's t2 Taxonomy Pattern 06 col Define Carlesian Product of two sets. BTL1, : If A = {1,,3,5,6,7}, B {2,4,5,6,8} BTLZ, Find"
ROW45|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3='BTL6 that Define diagonal matrix.Also prove 06 co4 BTL2 A.(B-C):A.B-A.C where &BTL3 [-r s 2l t-q 7 3l I- | -4 -sl &BTL5 s 4 .n=l -ql&,r=lg -4 -+l*,c=l-u -s -?l [o -s s] l, 2 -4) [-, -4 -6.l In a survey of 170 people, it was found that: 58 read 06 co1 BTLl, Newsweek magazine,45 read Time, 52 read Fortune ,29 BTL2, BTL6 read both Newsweek and Time, 27 rcad both Newsweek 2l and Fortune, read both Time and Fortune, 7 read all threemagazines.(a) Find the number of people who read at least one of the tfuee magazines.'
ROW46|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3='Fill in the correct number of people in each of the eight regions of the Venn diagram where N, T , and F denote the set of people who read Newsweek, Time, and Fortune, respectively.'
ROW47|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3='Find the number of people who read exactly one magazine. (Any Two) L2 Define domain,co-domain and range of the function. Also 06 co3 BTL4 &, if f : R-+ R,g : R -+ R&h: R + R be a functions define BTL5 & as f(x):4xl3, g(x):3x and h(x):4x-2 then prove that BTL6 (fog)oh:fo(goh) Define the following function with example. 06 BTL1 &'
ROW48|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3='Injective function'
ROW49|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3='Surjective function'
ROW50|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3='In to BTL2 function'
ROW51|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3='Identity function'
ROW52|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3='Co A nstant funTction KX a J 06 co4 BTL1 & n, BTL2 tr-^r l Z \\ / \\,/ JIV-/\\ which of the above graphs are isomorphic? (Any One) 06 1 prove that: ("|1) = (.ir) +'
ROW53|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3='06 BTL3, BTL4, BTL6 A class contains 12 students with 7 men and 5 women. Find BTL3, the number n of ways to: BTL4,'
ROW54|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3='Select a 5-member committee from the students. BTL6'
ROW55|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3='Select a 5-member committee with 3 men and 2 women.'
ROW56|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3='Be precise and to the point in your answer.'
ROW57|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3='CO is Course Outcome from the Subject Syllabus.'
ROW58|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3="Bloom's TaxonomyBasedAssessmentPattern: BTL1-Remember;BTL2-Understand; BTL3- Apply; BTl4-Analyze; BTL5- Evaluate; BTL6_Create. I Section - Q-l Answer the foltowing. (Any"
ROW59|col0='    SEM-3'|col1=None|col2=None|col3=None
ROW60|col0='        📄 B.Sc. (CA_IT) SEM-3- Nov-Dec 2023 (Regular).pdf'|col1=None|col2=None|col3=None
ROW61|col0='B.Sc. (CA&IT)'|col1='SEM-3'|col2='B.Sc. (CA_IT) SEM-3- Nov-Dec 2023 (Regular).pdf'|col3="Figures to the right indicate fullmarks, Course Outcomes and BL Pattem Level' Z. This Question paper has two sections. Each section should be written in a separate answer book."
ROW62|col0='B.Sc. (CA&IT)'|col1='SEM-3'|col2='B.Sc. (CA_IT) SEM-3- Nov-Dec 2023 (Regular).pdf'|col3='Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il consist of 03 questions, Question 2 of 12 Marks, Question 3 of 12 Marks and Question 4 of 6 Marks with options respectively.'
ROW63|col0='B.Sc. (CA&IT)'|col1='SEM-3'|col2='B.Sc. (CA_IT) SEM-3- Nov-Dec 2023 (Regular).pdf'|col3='Be precise and to the point in your answer.'
ROW64|col0='B.Sc. (CA&IT)'|col1='SEM-3'|col2='B.Sc. (CA_IT) SEM-3- Nov-Dec 2023 (Regular).pdf'|col3="CO is Course Outcome from the Subject Syllabus'"
ROW65|col0='B.Sc. (CA&IT)'|col1='SEM-3'|col2='B.Sc. (CA_IT) SEM-3- Nov-Dec 2023 (Regular).pdf'|col3="Bloom's Taxonomy Based Assessment Pattern: BTll-Remember; BTLZ' Understand; BTL3 - Apply; BTL4-Anal yze; BTL5 - Evaiuate; bTl6-Create. I Section - Q-1 (Any"
ROW66|col0='B.Sc. (CA&IT)'|col1='SEM-3'|col2='B.Sc. (CA_IT) SEM-3- Nov-Dec 2023 (Regular).pdf'|col3="Marks CO Bloom's 30 Taxonomy Pattern Write down algorithm for simple queue operations. 06 co1 BTL2 1 2 Write down algorithm for reverse link lists. 06 co3 BTL2 J a Explain different tree traversal method with example 06 coz BTL5 4 Give the difference between Stack and queue. 06 co1 BTL6 5 Write down the algorithms for all stack operations' 06 co3 BTL3 6 Explain binary search with example. 06 co4 BTL6 7 Explain bubble sort with examPle. 06 co4 BTL6 II Section - Q-2 (Any Two) Marks CO Bloom's t2 Taxonomy Pattern What is data structure? Explain the types of it. 06 coz BTLi 1 2 Write down algorithm for Deque operations. 06 co3 BTL3 3 Write down algorithm to insert a node at the beginning of 06 co3 BTL2 the single link list. (Any Two) L2 Write down algorithm to insert the node in tree 06 co3 BTL3 1 2 E-xplain Threaded tree 06 co4 BTL6 3 Explain sequential search with example and algorithm 06 co4 BTL5 (Any One) 06 Explain selection sort with suitable example. 06 co4 BTL4 1 Exolain Inseftion sort with suitable example. 06 co4 BTL6 ?- r./rrrurrrrlutrr 1ru, GAI{PAT UI.{IVIiRSiTY (lr\\ctl'i') l3.Sc.( Scnr-l i I (LltlCS ) lLci:LrIaL/l{r)nlccliaI Nor,'.-Dc c. 2023 LII 3A2OCIl:'}: OI).1EC'l- OI{IIrN'l'lrl) L'ONCll'rI,'lS ANl) I I'I{(XIRAN4M IN(i 'l'itlc: -fotal: 3 IloLrrs 60 it'larlis Ins{rrrc(ions: 1 . Figurcs to the right indicate 1ul1 n.ratks, Course O utcon.rcs ancl IIL Patteln Le vcl."
ROW67|col0='B.Sc. (CA&IT)'|col1='SEM-3'|col2='B.Sc. (CA_IT) SEM-3- Nov-Dec 2023 (Regular).pdf'|col3='This Questior.r paper has 1u,o sectiotrs. llach scction should be rvlitten in a scpli lrlc ansrvcr book.'
ROW68|col0='B.Sc. (CA&IT)'|col1='SEM-3'|col2='B.Sc. (CA_IT) SEM-3- Nov-Dec 2023 (Regular).pdf'|col3='Sectiou-l cot.tsist of 07 qucstions of 6 nrarl<s cach rvith optior.rs rcspectivcly. Scction-ll consist of 03 ques{.ions, Question 2 of 12 Malks, Qucstion 3 of 12 Marks and Qucstion 4 ol 6 Marks lvith options lcspcctively.'
ROW69|col0='B.Sc. (CA&IT)'|col1='SEM-3'|col2='B.Sc. (CA_IT) SEM-3- Nov-Dec 2023 (Regular).pdf'|col3="Bc plccisc lirrrl to lhc |oint irr your unswL'l ."
ROW70|col0='B.Sc. (CA&IT)'|col1='SEM-3'|col2='B.Sc. (CA_IT) SEM-3- Nov-Dec 2023 (Regular).pdf'|col3="CO is Coru'se Outcome lrom lhe Subject Syllabus."
ROW71|col0='B.Sc. (CA&IT)'|col1='SEM-3'|col2='B.Sc. (CA_IT) SEM-3- Nov-Dec 2023 (Regular).pdf'|col3='Blooi.n\'s Taxououy Bascd Asscssrnent Palteln: IITLl-1{crncmber; BTL2- Undclstapd; BTL3- Apply, B1"L4-Analyzc. Bl\'L5- Evaluatc; BTL6-Crcatc. Scction --I o-l ;\\ttsrr e r tlrc lirllorling. (Arrr\''
ROW72|col0='B.Sc. (CA&IT)'|col1='SEM-3'|col2='B.Sc. (CA_IT) SEM-3- Nov-Dec 2023 (Regular).pdf'|col3="\\ I :r rli.s c() Illoorrr's l0 'l':rxttItotttY l'ultcrrr 1 What is Inhcritance'/ Ilxplain its supportcd typcs rvith 06 c()2 lt r L.f exanrple. 2 l-ist oLrt aur' 10 ntrrtlrocls ol'Slrirrq hirntllirrs clrrs rr itlr 06 col Il l't.l Icttltlt tY|c,"
ROW73|col0='B.Sc. (CA&IT)'|col1='SEM-3'|col2='B.Sc. (CA_IT) SEM-3- Nov-Dec 2023 (Regular).pdf'|col3='ltttlncrtcrls 01\'tlic: ntcthocl trttrl trsc of il. -1 Iixplain thlcad Iifc cyclc and l\'lucad Prioritics rvith 0(i CO2 B\'I1,5 4 Explain blocl< cxpression and genet\'ic function intcr-lace in 0(i t\'().+ Lr\'1\'L5 detail. 5 Ilxlrlirin i\\,1ap lrrtt:rIlce in tlctlrii. 06 co3 I]-I I , (I 6 Discuss thc usc o1\'nrclho,:l arcl constr:Lriili:*i.,1.*..t 06 C().+ 1l\'tr,4 ",Lt, suitublc casc. 7 lJiscrrss Svnt:hrolrizirtion irr .JIr a\',\' 06 CO.5 ]]TL3 Scctitrn - Il Q-2 .,\\nslr e r tlrc lirllol ing (r\\n.r \'l\'n'
ROW74|col0='B.Sc. (CA&IT)'|col1='SEM-3'|col2='B.Sc. (CA_IT) SEM-3- Nov-Dec 2023 (Regular).pdf'|col3="IIarl's co lJlrtorrr's t2 'l'rtronornI l'lt{{crrr l llxplain .ll)l(. .ll{li. .lVN1. 06 co1 ll'f1-3 2 What is nolvnrorplriiir? ti\\lrt,ri,-r rtr"
ROW75|col0='B.Sc. (CA&IT)'|col1='SEM-3'|col2='B.Sc. (CA_IT) SEM-3- Nov-Dec 2023 (Regular).pdf'|col3=',p.r, tuiI. 06 ( l()l Ill L,+ 3 lllustrate the use ol\'static kcyrvolcl iuiG sr\',itrUi" 06 ( l() l u\'fL5 r\\nsl cr thc lirilou,ing: (,\\nr\' \'l\'u\'o) "*.,r,rf.lt" 12 What is genelic? llxplain boundccl typcs, ancl gcnclic 06 CO3 lil\'1.4 1 hicralchics in detail. 2 iIou, to inrplcnrcnls larnbrllr cxplc:ssion irr.jrrr lr\'.\' 0(r CO4 I:l l\'1.(r J \\\\llrjch alc thc acc:css ntrrclillcls itr jlva\'? ltx]-llrin lirl clls:; 06 co3 ll r\'1 5 rrd plcliagc. (1..{ .Ansl\'cr thc (irllrtu irrg: (,\\rrr\' Onc) 06 - I l :xplain in rlctaii liolli/.l oirr rrsing plu r l lcl plr:r\'lrrrnr i npr. 06 cos nfi-+ 2 IJxplain in detail CountDownlatch, CyclicJ3an\'icr, 06 co.5 l\'l\'t.l 1 Scmaphole, Exchan scr. Phaser. \'irr [n(l ol\'lhc'
ROW76|col0='B.Sc. (CA&IT)'|col1='SEM-3'|col2='B.Sc. (CA_IT) SEM-3- Nov-Dec 2023 (Regular).pdf'|col3='Figures to the right indicate full marks, Course Outcornes and BL Pattern Level.'
ROW77|col0='B.Sc. (CA&IT)'|col1='SEM-3'|col2='B.Sc. (CA_IT) SEM-3- Nov-Dec 2023 (Regular).pdf'|col3='This Question paper has two sections. Each section should be written in a separate answer book.'
ROW78|col0='B.Sc. (CA&IT)'|col1='SEM-3'|col2='B.Sc. (CA_IT) SEM-3- Nov-Dec 2023 (Regular).pdf'|col3='Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il consist of 03 questions, Question 2 of 12 Marks, Question 3 of 12 Marks and Question 4 of 6 Marks with options respectively.'
ROW79|col0='B.Sc. (CA&IT)'|col1='SEM-3'|col2='B.Sc. (CA_IT) SEM-3- Nov-Dec 2023 (Regular).pdf'|col3='Be precise and to the point in your answer.'
ROW80|col0='B.Sc. (CA&IT)'|col1='SEM-3'|col2='B.Sc. (CA_IT) SEM-3- Nov-Dec 2023 (Regular).pdf'|col3='CO is Course Outcome from the Subject Syllabus.'
ROW81|col0='B.Sc. (CA&IT)'|col1='SEM-3'|col2='B.Sc. (CA_IT) SEM-3- Nov-Dec 2023 (Regular).pdf'|col3="Bloom's Taxonomy Based Assessment Pattern: BTL1-Remember; BTL2- Understand; BTL3 - Apply, BTl4-Analyze; BTL5 - Evaluate; BTL6-Create. I Section - Q-1 (Any"
ROW82|col0='B.Sc. (CA&IT)'|col1='SEM-3'|col2='B.Sc. (CA_IT) SEM-3- Nov-Dec 2023 (Regular).pdf'|col3="Be precise and to ihe point in your answer'"
ROW83|col0='B.Sc. (CA&IT)'|col1='SEM-3'|col2='B.Sc. (CA_IT) SEM-3- Nov-Dec 2023 (Regular).pdf'|col3='CO is Coot* Outcome from the Subject Syllabus\' 6.Bloom,sTaxonomyBasedAssessmentPattern:BTll-Remember;BTLZ- Understand;BTL3-Apply;BTL4-Analyze;BTL5-Evaluate;BTL6.Create. Bloom\'s Alrsw;][. f"tt,wing\' (AnY'
ROW84|col0='B.Sc. (CA&IT)'|col1='SEM-3'|col2='B.Sc. (CA_IT) SEM-3- Nov-Dec 2023 (Regular).pdf'|col3='This Question paper has two sections. Each section should be written in a separate answer book. J. Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il consist of 03 questions, Question 2 of 12 Marks, Question 3 of 12 Marks and Question 4 of 6 Marks with options respectively.'
ROW85|col0='B.Sc. (CA&IT)'|col1='SEM-3'|col2='B.Sc. (CA_IT) SEM-3- Nov-Dec 2023 (Regular).pdf'|col3='Be precise and to the point in your answer.'
ROW86|col0='B.Sc. (CA&IT)'|col1='SEM-3'|col2='B.Sc. (CA_IT) SEM-3- Nov-Dec 2023 (Regular).pdf'|col3='CO is Course Outcome from the Subject Syllabus.'
ROW87|col0='B.Sc. (CA&IT)'|col1='SEM-3'|col2='B.Sc. (CA_IT) SEM-3- Nov-Dec 2023 (Regular).pdf'|col3="Bloom's Taxonomy Based Assessment Pattern: BTL1-Remember; BTL2- Understand; B TL3 - Apply ; BTL4-Analy ze; BTLS - Evaluate ; B Tl6-Create. I Section - Q-l (Any"
ROW88|col0='B.Sc. (CA&IT)'|col1='SEM-3'|col2='B.Sc. (CA_IT) SEM-3- Nov-Dec 2023 (Regular).pdf'|col3="Marks CO Bloom's 30 Taxonomy Pattern 1 An electronic company is engaged in the production of 06 COl BTLI, two components Cl and C2 that are used in radio sets. & BTL2, COz Each unit of C1 costs the company Rs 5 in wages and Rs BTL6 5 in material, while each of C2 costs the company Rs 25 in wages and Rs 15 in material. The company sells both products on one period credit terms, but the company's labour and material expenses must be paid in cash. The selling price of C1 is Rs 30 per unit and of C2 it is Rs 70 per unit. Because of the company's strong monopoly in these components, it is assumed that the company can sell, at the prevailing prices, as many units as it produces. The company's production capacity is, however, limited by two considerations. First, at the beginning of period 1, the company has an initial balance of Rs 4,000 (cash plus bank credit plus collections from past credit sales). Second, the company has, in each period, 2,000 hours of machine time and 1,400 hours of assembly time. The production of each Cl requires 3 hours of machine time and 2 hours of assembly time, whereas the production of each C2 requires 2 hours of machine time and 3 hours of assembly time. Formulate this problem as an LP model so as to maximizethe total profit to the company. Solve the LPP by using Simplex method for the optimal 06 co1 BTLl, solution: & BTLZ, MaximizeZ= 3xr* 2x, * 5x, c02 BTL6 * * I Subject to constraints x1 2x2 xz 430, 3xr*Zxr<460, x, * < 4x3 420 and XyX2,XZ )"
